wavelength,absor
360,0.266852590676
361,0.268300054251
362,0.270712041885
363,0.273397905759
364,0.276083769634
365,0.279279173887
366,0.284158060943
367,0.289036947998
368,0.293915835053
369,0.298794722109
370,0.303673609164
371,0.308552496219
372,0.313346265477
373,0.317012223919
374,0.320678182361
375,0.324344140803
376,0.328010099245
377,0.331676057687
378,0.335136186588
379,0.337901400067
380,0.340666613545
381,0.343431827024
382,0.346197040502
383,0.348962253981
384,0.351727467459
385,0.376878272251
386,0.381578534031
387,0.386278795812
388,0.390979057592
389,0.395679319372
390,0.403477897806
391,0.41406496123
392,0.424787890607
393,0.43857122069
394,0.452354550773
395,0.458008286903
396,0.462204302737
397,0.466400318572
398,0.470596334406
399,0.474792350241
400,0.484825084022
401,0.495661853128
402,0.511790780928
403,0.527919708728
404,0.516209882677
405,0.507517137407
406,0.517549628938
407,0.527582120469
408,0.537614611999
409,0.54764710353
410,0.55767959506
411,0.567712086591
412,0.574853678699
413,0.581781801968
414,0.588732581555
415,0.595683361141
416,0.602634140728
417,0.607588481675
418,0.611348691099
419,0.615108900524
420,0.618869109948
421,0.622629319372
422,0.626389528796
423,0.628478534031
424,0.630090052356
425,0.631701570681
426,0.633313089005
427,0.63492460733
428,0.636536125654
429,0.634024218159
430,0.631201108716
431,0.628377999272
432,0.625554889828
433,0.622731780385
434,0.619908670941
435,0.617085561497
436,0.614262452054
437,0.61143934261
438,0.608616233166
439,0.607493790836
440,0.609572930639
441,0.614881997584
442,0.612193055095
443,0.608529511385
444,0.604865967675
445,0.601202423965
446,0.596534031414
447,0.590267015707
448,0.584
449,0.577732984293
450,0.560471204188
451,0.552123036649
452,0.548094240838
453,0.544065445026
454,0.540036649215
455,0.513939790576
456,0.50722513089
457,0.500510471204
458,0.491942408377
459,0.482541884817
460,0.47283171279
461,0.462548691099
462,0.435492146597
463,0.426091623037
464,0.416691099476
465,0.408795811518
466,0.401633507853
467,0.394471204188
468,0.387162303665
469,0.379104712042
470,0.371047120419
471,0.365204188482
472,0.359832460733
473,0.354460732984
474,0.349817680804
475,0.346753425687
476,0.34368917057
477,0.340624915454
478,0.337560660337
479,0.334496405221
480,0.331432150104
481,0.328367894987
482,0.327972951554
483,0.328292250057
484,0.32861154856
485,0.328930847062
486,0.331296074614
487,0.333776112237
488,0.336256149859
489,0.338736187482
490,0.341216225105
491,0.343468586387
492,0.345706806283
493,0.347945026178
494,0.350183246073
495,0.352421465969
496,0.354659685864
497,0.356897905759
498,0.361887297736
499,0.367103051973
500,0.37231880621
501,0.377534560447
502,0.382750314683
503,0.388045600405
504,0.393417328154
505,0.398789055903
506,0.404160783651
507,0.4095325114
508,0.414904239149
509,0.420275966897
510,0.425647694646
511,0.430947002768
512,0.436182161167
513,0.441417319566
514,0.446652477966
515,0.451887636365
516,0.457122794764
517,0.463570931814
518,0.470495577221
519,0.477420222628
520,0.484344868035
521,0.491269513442
522,0.497685871518
523,0.502914483892
524,0.508143096266
525,0.513371708641
526,0.518722513089
527,0.524094240838
528,0.529465968586
529,0.534837696335
530,0.540327225131
531,0.546370418848
532,0.552413612565
533,0.558456806283
534,0.5645
535,0.572879581152
536,0.583623036649
537,0.594366492147
538,0.605109947644
539,0.61319895288
540,0.621256544503
541,0.628442408377
542,0.635157068063
543,0.642287958115
544,0.650345549738
545,0.658403141361
546,0.666460732984
547,0.674518324607
548,0.68257591623
549,0.69187434555
550,0.702617801047
551,0.713361256545
552,0.724104712042
553,0.734848167539
554,0.737125681484
555,0.737065584702
556,0.73700548792
557,0.737652761358
558,0.743024489107
559,0.748396216855
560,0.753767944604
561,0.759139672353
562,0.76502847259
563,0.77168786144
564,0.77834725029
565,0.785006639139
566,0.791666027989
567,0.798325416839
568,0.811057591623
569,0.825829842932
570,0.838219895288
571,0.847172774869
572,0.85612565445
573,0.865078534031
574,0.870115183246
575,0.874719521316
576,0.879323859387
577,0.883928197457
578,0.888532535527
579,0.893136873598
580,0.897741211668
581,0.902345549738
582,0.905820680628
583,0.908842277487
584,0.911863874346
585,0.914885471204
586,0.917907068063
587,0.920928664921
588,0.92395026178
589,0.926971858639
590,0.929993455497
591,0.935769633508
592,0.946513089005
593,0.957256544503
594,0.968
595,0.971922687625
596,0.97462234101
597,0.977321994395
598,0.98002164778
599,0.982721301166
600,0.985420954551
601,0.987360121469
602,0.988110070473
603,0.988860019477
604,0.989609968481
605,0.990095787491
606,0.989799544888
607,0.989503302286
608,0.989207059683
609,0.988910817081
610,0.988614574479
611,0.988318331876
612,0.988022089274
613,0.987725846671
614,0.987429604069
615,0.987133361467
616,0.986837118864
617,0.986540876262
618,0.986244633659
619,0.985948391057
620,0.985652148454
621,0.985355905852
622,0.985847565685
623,0.982658956182
624,0.979470346679
625,0.976281737176
626,0.973093127673
627,0.96990451817
628,0.966715908667
629,0.963370418848
630,0.960013089005
631,0.956655759162
632,0.953298429319
633,0.949209424084
634,0.942942408377
635,0.93667539267
636,0.930408376963
637,0.922834456905
638,0.914807751086
639,0.906781045267
640,0.898754339449
641,0.891187114279
642,0.891417930706
643,0.891648747132
644,0.891879563559
645,0.883620845719
646,0.867068062827
647,0.853638743455
648,0.840335078534
649,0.829591623037
650,0.818848167539
651,0.805253926702
652,0.790481675393
653,0.77422513089
654,0.757560209424
655,0.749502617801
656,0.741445026178
657,0.705680628272
658,0.698959147811
659,0.707314136126
660,0.698921738453
661,0.671204188482
662,0.671047120419
663,0.657617801047
664,0.644188481675
665,0.617460732984
666,0.607612565445
667,0.597764397906
668,0.543790575916
669,0.533047120419
670,0.522303664921
