wavelength,absor
360,0.485802105789
361,0.49105374667
362,0.494933486464
363,0.498175472399
364,0.501417458335
365,0.50465944427
366,0.507901430205
367,0.51114341614
368,0.514385402076
369,0.51785573112
370,0.52147419602
371,0.52509266092
372,0.52871112582
373,0.532494934387
374,0.536352007631
375,0.540209080874
376,0.544066154118
377,0.547923227361
378,0.551780300604
379,0.555615250955
380,0.559439538774
381,0.563263826592
382,0.567088114411
383,0.57091240223
384,0.574736690048
385,0.578560977867
386,0.582459543056
387,0.586380883819
388,0.590302224582
389,0.594223565345
390,0.598144906108
391,0.60165354035
392,0.604567007839
393,0.607480475328
394,0.610393942817
395,0.613307410305
396,0.616488520886
397,0.622233559173
398,0.62797859746
399,0.633723635747
400,0.639468674034
401,0.645213712322
402,0.649723435411
403,0.653320614869
404,0.656917794327
405,0.660514973785
406,0.664112153242
407,0.6677093327
408,0.671306512158
409,0.676100577201
410,0.681256406712
411,0.686412236223
412,0.690040723254
413,0.693147472543
414,0.696254221833
415,0.699360971122
416,0.702467720411
417,0.705712990602
418,0.709676130494
419,0.713639270385
420,0.717602410276
421,0.721565550168
422,0.725528690059
423,0.72949182995
424,0.732226937108
425,0.733722193616
426,0.735217450125
427,0.736712706633
428,0.738207963142
429,0.73970321965
430,0.741198476159
431,0.742693732667
432,0.743938996196
433,0.745180945386
434,0.746422894576
435,0.747664843766
436,0.748906792957
437,0.750148742147
438,0.751390691337
439,0.752632640527
440,0.753874589717
441,0.755116538907
442,0.756358488097
443,0.756391838202
444,0.755982025971
445,0.755572213739
446,0.755162401508
447,0.754752589276
448,0.754342777044
449,0.753932964813
450,0.753523152581
451,0.753077977931
452,0.75256725067
453,0.75205652341
454,0.751545796149
455,0.751035068888
456,0.750524341628
457,0.750013614367
458,0.749502887106
459,0.748131882536
460,0.746032499755
461,0.743933116975
462,0.741833734194
463,0.739734351414
464,0.737634968633
465,0.735535585852
466,0.733436203072
467,0.731371976828
468,0.729351346623
469,0.727330716417
470,0.725310086212
471,0.723289456006
472,0.721268825801
473,0.719294026149
474,0.717663360173
475,0.716032694198
476,0.714402028222
477,0.712771362246
478,0.71114069627
479,0.709510030294
480,0.707879364319
481,0.706248698343
482,0.704130674633
483,0.701830618905
484,0.699530563177
485,0.697230507449
486,0.694930451721
487,0.692630395993
488,0.690330340265
489,0.688030284537
490,0.685849217529
491,0.685513090714
492,0.685176963898
493,0.684840837082
494,0.684504710266
495,0.684168583451
496,0.683832456635
497,0.683496329819
498,0.683111205696
499,0.682683984206
500,0.682256762717
501,0.681829541227
502,0.681402319737
503,0.680975098248
504,0.680547876758
505,0.680120655269
506,0.679767052089
507,0.679880566046
508,0.679994080003
509,0.68010759396
510,0.680221107916
511,0.680334621873
512,0.68044813583
513,0.680634099926
514,0.682674229501
515,0.684714359075
516,0.68675448865
517,0.688794618225
518,0.690834747799
519,0.692874877374
520,0.694915006948
521,0.696955136523
522,0.699089624338
523,0.701503321489
524,0.703917018641
525,0.706330715793
526,0.708744412945
527,0.711158110096
528,0.713571807248
529,0.7159855044
530,0.718399201552
531,0.721215936301
532,0.724039944592
533,0.726863952883
534,0.729687961174
535,0.732511969465
536,0.735335977756
537,0.740451883765
538,0.74562467118
539,0.750797458595
540,0.755970246009
541,0.761143033424
542,0.766295280539
543,0.770084774412
544,0.773874268284
545,0.777663762157
546,0.78145325603
547,0.785242749903
548,0.789032243775
549,0.792953268076
550,0.802308946621
551,0.811398147527
552,0.814456092883
553,0.817514038239
554,0.820571983595
555,0.82362992895
556,0.826687874306
557,0.83294830532
558,0.839274606304
559,0.845600907289
560,0.851927208273
561,0.857814784442
562,0.862378758724
563,0.866942733005
564,0.871506707287
565,0.876070681569
566,0.88063465585
567,0.885354063935
568,0.890131088691
569,0.894908113447
570,0.899685138204
571,0.904326727767
572,0.907868426891
573,0.911410126014
574,0.914951825138
575,0.918493524262
576,0.922035223385
577,0.926548112623
578,0.931311936095
579,0.936075759567
580,0.940839583038
581,0.94560340651
582,0.950367229982
583,0.954227283489
584,0.957050775104
585,0.959874266719
586,0.962697758333
587,0.965521249948
588,0.968344741563
589,0.971168233178
590,0.973791710969
591,0.975693443147
592,0.977595175326
593,0.979496907504
594,0.981398639683
595,0.983300371861
596,0.98520210404
597,0.987103836219
598,0.987988855149
599,0.988552263556
600,0.989115671963
601,0.98967908037
602,0.990242488777
603,0.990805897184
604,0.991369305592
605,0.991932713999
606,0.992496122406
607,0.991823261716
608,0.990929634561
609,0.990036007406
610,0.989142380251
611,0.988248753096
612,0.987355125941
613,0.986461498786
614,0.984134546958
615,0.981736577633
616,0.979338608307
617,0.976940638981
618,0.974542669656
619,0.97214470033
620,0.969746731005
621,0.967348761679
622,0.963137074254
623,0.958732094309
624,0.954327114364
625,0.949922134419
626,0.945517154474
627,0.940332453915
628,0.933898580201
629,0.927464706488
630,0.921030832774
631,0.917683322934
632,0.917418501032
633,0.91715367913
634,0.916888857229
635,0.914859527642
636,0.897827178838
637,0.885326386452
638,0.87837718814
639,0.871427989828
640,0.864478791515
641,0.857214904897
642,0.849856930213
643,0.84249895553
644,0.834983765593
645,0.825883624946
646,0.816783484299
647,0.807683343652
648,0.795130133975
649,0.782342030857
650,0.770452898149
651,0.763140752667
652,0.755828607185
653,0.748516461703
654,0.741204316222
655,0.732190081769
656,0.722317402444
657,0.712433870069
658,0.702509919898
659,0.692585969727
660,0.681958305421
661,0.670927831909
662,0.66051383399
663,0.650922999485
664,0.641332164979
665,0.629454705641
666,0.617360289295
667,0.607043552304
668,0.596726815314
669,0.582865841586
