wavelength	absor
709	0.911587101
710	0.903682591
711	0.895778082
712	0.887902294
713	0.880534758
714	0.873167223
715	0.865799687
716	0.855716795
717	0.844854726
718	0.835114216
719	0.827206559
720	0.819298903
721	0.81138275
722	0.802757063
723	0.794131375
724	0.785857722
725	0.778143801
726	0.77042988
727	0.76271596
728	0.754834845
729	0.746909284
730	0.738983723
731	0.731349348
732	0.724925703
733	0.718502058
734	0.712078412
735	0.705654767
736	0.699394677
737	0.693380884
738	0.687367091
739	0.681353298
740	0.675330737
741	0.66929521
742	0.663259682
743	0.657224154
744	0.651199167
745	0.646459999
746	0.64172083
747	0.636981661
748	0.632242492
749	0.627503323
750	0.623184691
751	0.618962312
752	0.614739933
753	0.610517555
754	0.606295176
755	0.602033613
756	0.597632956
757	0.593232299
758	0.588831643
759	0.584430986
760	0.580019481
761	0.575191895
762	0.570364308
763	0.565536722
764	0.560709136
765	0.555802035
766	0.550629621
767	0.545457207
768	0.540284793
769	0.53511238
770	0.529643984
771	0.523792364
772	0.517940744
773	0.512089125
774	0.506182733
775	0.498979668
776	0.491776603
777	0.484573538
778	0.476972292
779	0.468873265
780	0.460774237
781	0.452520758
782	0.443950531
783	0.435380303
784	0.42681521
785	0.41834499
786	0.409874771
787	0.401404551
788	0.392973649
789	0.384546547
790	0.376119444
791	0.367822158
792	0.359592273
793	0.351362388
794	0.342951951
795	0.334449114
796	0.325946277
797	0.317878157
798	0.310236333
799	0.302594509
