Wavelength (nm),Absorbance
330,0.223305839125
331,0.223374856999
332,0.223443874873
333,0.223512892748
334,0.223581910622
335,0.22313755006
336,0.222251820673
337,0.221366091286
338,0.220480361899
339,0.219594632512
340,0.218708903125
341,0.217823173738
342,0.216937444351
343,0.216051714965
344,0.21516418996
345,0.214209442699
346,0.213254695438
347,0.212299948177
348,0.211345200915
349,0.210390453654
350,0.209435706393
351,0.208480959132
352,0.207526211871
353,0.206571464609
354,0.205835618075
355,0.205306481039
356,0.204777344003
357,0.204248206966
358,0.20371906993
359,0.203189932894
360,0.202660795857
361,0.202131658821
362,0.201602521785
363,0.201076951073
364,0.201905165565
365,0.202733380057
366,0.203561594548
367,0.20438980904
368,0.205218023532
369,0.206046238023
370,0.206874452515
371,0.207702667007
372,0.208530881498
373,0.209703574541
374,0.211233470755
375,0.212763366969
376,0.214293263182
377,0.215823159396
378,0.21735305561
379,0.218882951824
380,0.220412848037
381,0.221942744251
382,0.223472640465
383,0.225306668881
384,0.227147145529
385,0.228987622177
386,0.230828098825
387,0.232668575473
388,0.234509052121
389,0.236349528769
390,0.238190005418
391,0.240030482066
392,0.241994656
393,0.244099701166
394,0.246204746332
395,0.248309791498
396,0.250414836665
397,0.252519881831
398,0.254624926997
399,0.256729972163
400,0.25883501733
401,0.260940062496
402,0.263297995172
403,0.265667608857
404,0.268037222541
405,0.270406836226
406,0.27277644991
407,0.275146063594
408,0.277515677279
409,0.279885290963
410,0.282254904648
411,0.284772682127
412,0.287475882204
413,0.290179082281
414,0.292882282357
415,0.295585482434
416,0.298288682511
417,0.300991882588
418,0.303695082665
419,0.306398282742
420,0.309101482819
421,0.312038391883
422,0.314992229092
423,0.317946066301
424,0.320899903511
425,0.32385374072
426,0.326807577929
427,0.329761415139
428,0.332715252348
429,0.335782401227
430,0.339133176421
431,0.342483951615
432,0.345834726809
433,0.349185502002
434,0.352536277196
435,0.35588705239
436,0.359237827584
437,0.362734697827
438,0.366375822998
439,0.370016948169
